1,"{""point"": {""en"": ""The creation and initial deployment of the enebra.org website"", ""ru"": ""Создание и запуск сайта enebra.org""}, ""description"": {""en"": ""<p>For maximal involve people around the world website should be a symbiosis of information portal and social network. Inform people with the following:</p>\r\n\r\n<ul>\r\n\t<li>&nbsp; &nbsp; A comprehensive understanding of the problems taking place in the modern world and human society</li>\r\n\t<li>&nbsp; &nbsp; Already existing technical solutions, which serve as a basis for the project;</li>\r\n\t<li>&nbsp; &nbsp; The main idea of the project;</li>\r\n\t<li>&nbsp; &nbsp; Website should motivate people to register and take an active part in the community project development;</li>\r\n\t<li>&nbsp; &nbsp; While project development help every person to define his place in the project for the best involving efficiency, to escape from criticism towards reasonable proposals for a comprehensive revision of the concept, to neglect he principle of the crowd, to identify the most important and prior areas for the project development;</li>\r\n\t<li>&nbsp; &nbsp; Bring the intellectual, material and financial resources to promote the project;</li>\r\n\t<li>&nbsp; &nbsp; The site should be the first prototype of the Enebra system in order to identify and find solutions for the observed</li>\r\n</ul>"", ""ru"": ""<p>Для максимального информирования людей во всем мире, сайт должен быть симбиозом информационного портала и социальной сети, донести до людей:</p>\r\n\r\n<ul>\r\n\t<li>&nbsp; &nbsp; Всестороннее понимание проблем, происходящих в современном мире и человеческом обществе;</li>\r\n\t<li>&nbsp; &nbsp; Уже существующие технические решения, на которых основан сам проект;</li>\r\n\t<li>&nbsp; &nbsp; Суть самого проекта;</li>\r\n\t<li>&nbsp; &nbsp; Сайт должен мотивировать людей регистрироваться и принимать активное участие в работе над проектом, не взирая на их занятость;</li>\r\n\t<li>&nbsp; &nbsp; В ходе работы над проектом помочь каждому человеку по своему желанию определить свое место в этом проекте для максимально эффективной работы, уйти от критики в сторону обоснованных предложений для всесторонней доработки концепции, убрать принцип толпы, выявить наиболее важные и первоочередные направления для развития самого проекта;</li>\r\n\t<li>&nbsp; &nbsp; Привлечь интеллектуальные, материальные и финансовые ресурсы для продвижения проекта;</li>\r\n\t<li>&nbsp; &nbsp; Сайт должен являться первым прототипом самой системы &laquo;Энебра&raquo; для выявления и нахождения решений, обнаруженных уязвимых мест.</li>\r\n</ul>""}}",1,1,1,2018-10-05 19:17:49,2019-01-28 23:42:48
1,"{""point"": {""en"": ""Project improvement by participants"", ""ru"": ""Совместная доработка проекта активистами""}, ""description"": {""en"": ""<ul>\r\n\t<li>&nbsp; &nbsp; Content translation to different languages</li>\r\n\t<li>&nbsp; &nbsp; User registration form improvement taking into account countries specifics: make possible and accessable registration for orphans, elderly, people in penitentiary institutions, with disabilities or with no documents. Make useless fake registration of non-existent people and consider a mechanism to identify bots;</li>\r\n\t<li>&nbsp; &nbsp; Phased plan improvement and considering phases of it&#39;s implementation;</li>\r\n\t<li>&nbsp; &nbsp; Website improvement and establishing extended technical requirements;</li>\r\n\t<li>&nbsp; &nbsp; Searching and implementation of the most effective approaches of people informing and motivating, taking into account specific features, culture and technical capabilities of different countries;</li>\r\n</ul>"", ""ru"": ""<ul>\r\n\t<li>&nbsp; &nbsp; Перевод сайта на различные языки мира;</li>\r\n\t<li>&nbsp; &nbsp; Коррекция формы регистрации участников с учетом специфики каждой страны: сделать возможным и доступным регистрацию детей-сирот, престарелых, людей, содержащихся в пенитенциарных заведениях, людей с ограниченными физическими возможностями, людей, не имеющих документов. Сделать бесполезным фиктивную регистрацию несуществующих людей, создать механизм выявления ботов;</li>\r\n\t<li>&nbsp; &nbsp; Совместная доработка поэтапного плана и этапов его внедрения;</li>\r\n\t<li>&nbsp; &nbsp; Совместная доработка и расширение тех.задания на веб-сайт;</li>\r\n\t<li>&nbsp; &nbsp; Совместный поиск и внедрение максимально эффективных методов информирования и мотивации людей с учетом специфических особенностей, культуры и технических возможностей разных стран.</li>\r\n</ul>""}}",1,1,2,2018-12-12 13:14:07,2019-01-09 14:32:07
1,"{""point"": {""en"": ""Video presentation creation"", ""ru"": ""Создание видеопрезентации""}, ""description"": {""en"": null, ""ru"": null}}",1,1,3,2018-12-12 13:25:05,2018-12-12 13:25:20
1,"{""point"": {""en"": ""Development of the principles of new system functioning"", ""ru"": ""Разработка принципов функционирования новой системы""}, ""description"": {""en"": null, ""ru"": null}}",1,1,4,2018-12-12 14:56:51,2018-12-12 21:12:00
1,"{""point"": {""en"": ""Bringing own primary resources and funding"", ""ru"": ""Привлечение собственных первичных ресурсов и финансовых средств""}, ""description"": {""en"": null, ""ru"": null}}",1,2,5,2018-12-12 15:05:50,2019-01-12 20:37:57
0,"{""point"": {""en"": ""Creation of Enebra International Foundation"", ""ru"": ""Создание международного фонда «Энебра»""}, ""description"": {""en"": ""<ul>\r\n\t<li>&nbsp; &nbsp; The Foundation must have representatives in the maximum possible amount of countries in the world;</li>\r\n\t<li>&nbsp; &nbsp; Everyone should have easy access in real time i order to obtain full information about the funds balance, depositors and their contributions, the ability to control the balance between received and spent funds;</li>\r\n\t<li>&nbsp; &nbsp; The fund resources distribution will be provided equaly by all project participants, taking into account overall approved budget and project development plan based on open voting;</li>\r\n\t<li>&nbsp; &nbsp; Fund resources should be spent only after open tenders (tenders and the voting mechanism is detailed discussed in the project description section in &quot;Technologies, Engineering and Production&quot;);</li>\r\n\t<li>&nbsp; &nbsp; Example:</li>\r\n</ul>\r\n\r\n<p>Nowadays there are technologies available only for rich people for example cancer treatment provided in Israel, there being treated almost all cancer stages, but cheapest operation costs approximately 350 thousands euros. The technology itself belongs clinic owners and of course it does not shared around the world. Access to this technology is only available for very rich people. But together project participants using fund resources could afford such technology and patent rights then share with all participants of project Enebra. With this approach, any doctor in the world will be able completely free use this technology. It is only a particular example with cancer. I think that with such approach and the transparency of the Enebra Foundation all participants can benefit from it.</p>"", ""ru"": ""<ul>\r\n\t<li>&nbsp; &nbsp; Фонд должен иметь представительства в максимально возможном количестве стран мира;</li>\r\n\t<li>&nbsp; &nbsp; Каждый человек должен иметь беспрепятственный доступ в реальном времени получать полную информацию о количестве средств, вкладчиках и суммах их вкладов, возможность контроля баланса между поступившими и потраченными средствами;</li>\r\n\t<li>&nbsp; &nbsp; Распределением средств фонда будут на равных правах заниматься все участники проекта, с учетом совместно принятого бюджета и плана развития проекта на основе открытого голосования;</li>\r\n\t<li>&nbsp; &nbsp; Средства фонда должны тратиться только на основе проведённых открытых тендеров (механизм тендеров и голосования детально раскрыт в описании проекта в пункте &ldquo;Технологии, Разработки и Производство&ldquo;);</li>\r\n\t<li>&nbsp; &nbsp; Пример:</li>\r\n</ul>\r\n\r\n<p>Сейчас есть технологии, которые доступны только очень богатым людям. К примеру, лечение рака проводится в Израиле, лечат почти последнюю стадию рака, но минимальная стоимость операции составляет от 350 тысяч евро. Сама технология принадлежит хозяевам клиники и, естественно, она не распространяется. В одиночку приобретение этой технологии доступно только очень богатым людям, но при большом объёме людей в проекте совместными усилиями вполне реально покупать такие технологии и патентные права - при помощи вышеупомянутого фонда - и выкладывать их в свободный доступ в проекте Энебра. При таком подходе любой врач в мире сможет совершенно бесплатно воспользоваться данной технологией - и это только частный пример с раком. Я думаю, что при таком подходе и прозрачности самого фонда он станет весьма полезным.</p>""}}",1,2,6,2018-12-12 15:09:16,2018-12-12 15:09:16
1,"{""point"": {""en"": ""Website and social network development and improvement"", ""ru"": ""Доработка и совершенствование веб-ресурса и социальной сети""}, ""description"": {""en"": null, ""ru"": null}}",1,3,7,2018-12-12 15:17:15,2019-01-09 14:32:19
0,"{""point"": {""en"": ""The adoption of common data formats and structures"", ""ru"": ""Принятие единых форматов и структуры данных""}, ""description"": {""en"": null, ""ru"": null}}",1,3,8,2018-12-12 15:18:51,2018-12-12 15:18:51
1,"{""point"": {""en"": ""Creation of a full technical specifications and dividing it into blocks"", ""ru"": ""Создание полного технического задания и деление его на блоки""}, ""description"": {""en"": null, ""ru"": null}}",1,3,9,2018-12-12 15:21:39,2019-01-09 13:12:24
0,"{""point"": {""en"": ""Formation an executive groups of participants to implement each technical block"", ""ru"": ""Деление участников на группы для создания отдельных блоков""}, ""description"": {""en"": null, ""ru"": null}}",1,3,10,2018-12-12 15:23:14,2018-12-12 15:23:14
